Model,Recall,Precision
Logistic Regression,0.0,1.0
Logistic Regression,0.0204,0.9305
Logistic Regression,0.0408,0.9188
Logistic Regression,0.0612,0.9052
Logistic Regression,0.0816,0.8961
Logistic Regression,0.102,0.8865
Logistic Regression,0.1224,0.8768
Logistic Regression,0.1429,0.8623
Logistic Regression,0.1633,0.8505
Logistic Regression,0.1837,0.8392
Logistic Regression,0.2041,0.8302
Logistic Regression,0.2245,0.8226
Logistic Regression,0.2449,0.8127
Logistic Regression,0.2653,0.8023
Logistic Regression,0.2857,0.7937
Logistic Regression,0.3061,0.7841
Logistic Regression,0.3265,0.7742
Logistic Regression,0.3469,0.7647
Logistic Regression,0.3673,0.7571
Logistic Regression,0.3878,0.7497
Logistic Regression,0.4082,0.744
Logistic Regression,0.4286,0.7365
Logistic Regression,0.449,0.7295
Logistic Regression,0.4694,0.7237
Logistic Regression,0.4898,0.7159
Logistic Regression,0.5102,0.7103
Logistic Regression,0.5306,0.705
Logistic Regression,0.551,0.6998
Logistic Regression,0.5714,0.6947
Logistic Regression,0.5918,0.6901
Logistic Regression,0.6122,0.6863
Logistic Regression,0.6327,0.6822
Logistic Regression,0.6531,0.6779
Logistic Regression,0.6735,0.6735
Logistic Regression,0.6939,0.6707
Logistic Regression,0.7143,0.668
Logistic Regression,0.7347,0.6634
Logistic Regression,0.7551,0.6586
Logistic Regression,0.7755,0.6546
Logistic Regression,0.7959,0.6499
Logistic Regression,0.8163,0.6455
Logistic Regression,0.8367,0.6403
Logistic Regression,0.8571,0.6341
Logistic Regression,0.8776,0.6268
Logistic Regression,0.898,0.618
Logistic Regression,0.9184,0.604
Logistic Regression,0.9388,0.5902
Logistic Regression,0.9592,0.5709
Logistic Regression,0.9796,0.5462
Logistic Regression,1.0,0.5
Decision Tree,0.0,1.0
Decision Tree,0.0204,0.9873
Decision Tree,0.0408,0.9747
Decision Tree,0.0612,0.962
Decision Tree,0.0816,0.9493
Decision Tree,0.102,0.9367
Decision Tree,0.1224,0.924
Decision Tree,0.1429,0.9114
Decision Tree,0.1633,0.8987
Decision Tree,0.1837,0.886
Decision Tree,0.2041,0.8734
Decision Tree,0.2245,0.8607
Decision Tree,0.2449,0.848
Decision Tree,0.2653,0.8354
Decision Tree,0.2857,0.8227
Decision Tree,0.3061,0.81
Decision Tree,0.3265,0.7974
Decision Tree,0.3469,0.7847
Decision Tree,0.3673,0.7755
Decision Tree,0.3878,0.7814
Decision Tree,0.4082,0.7841
Decision Tree,0.4286,0.7832
Decision Tree,0.449,0.7848
Decision Tree,0.4694,0.7861
Decision Tree,0.4898,0.7866
Decision Tree,0.5102,0.7862
Decision Tree,0.5306,0.7834
Decision Tree,0.551,0.7819
Decision Tree,0.5714,0.7809
Decision Tree,0.5918,0.776
Decision Tree,0.6122,0.7715
Decision Tree,0.6327,0.7682
Decision Tree,0.6531,0.7621
Decision Tree,0.6735,0.757
Decision Tree,0.6939,0.7517
Decision Tree,0.7143,0.7459
Decision Tree,0.7347,0.7384
Decision Tree,0.7551,0.7314
Decision Tree,0.7755,0.7214
Decision Tree,0.7959,0.7107
Decision Tree,0.8163,0.6999
Decision Tree,0.8367,0.6906
Decision Tree,0.8571,0.6754
Decision Tree,0.8776,0.6525
Decision Tree,0.898,0.6063
Decision Tree,0.9184,0.5519
Decision Tree,0.9388,0.5389
Decision Tree,0.9592,0.5259
Decision Tree,0.9796,0.513
Decision Tree,1.0,0.5
Random Forest,0.0,1.0
Random Forest,0.0204,0.9714
Random Forest,0.0408,0.9695
Random Forest,0.0612,0.964
Random Forest,0.0816,0.9586
Random Forest,0.102,0.9543
Random Forest,0.1224,0.9505
Random Forest,0.1429,0.9471
Random Forest,0.1633,0.9417
Random Forest,0.1837,0.9387
Random Forest,0.2041,0.9334
Random Forest,0.2245,0.9296
Random Forest,0.2449,0.9263
Random Forest,0.2653,0.9234
Random Forest,0.2857,0.9195
Random Forest,0.3061,0.9165
Random Forest,0.3265,0.9119
Random Forest,0.3469,0.9085
Random Forest,0.3673,0.903
Random Forest,0.3878,0.8984
Random Forest,0.4082,0.893
Random Forest,0.4286,0.8885
Random Forest,0.449,0.8827
Random Forest,0.4694,0.8774
Random Forest,0.4898,0.8735
Random Forest,0.5102,0.8679
Random Forest,0.5306,0.8618
Random Forest,0.551,0.8563
Random Forest,0.5714,0.8503
Random Forest,0.5918,0.8434
Random Forest,0.6122,0.8358
Random Forest,0.6327,0.8301
Random Forest,0.6531,0.8235
Random Forest,0.6735,0.8175
Random Forest,0.6939,0.8105
Random Forest,0.7143,0.8021
Random Forest,0.7347,0.7935
Random Forest,0.7551,0.7846
Random Forest,0.7755,0.7742
Random Forest,0.7959,0.7642
Random Forest,0.8163,0.7549
Random Forest,0.8367,0.7436
Random Forest,0.8571,0.733
Random Forest,0.8776,0.7196
Random Forest,0.898,0.708
Random Forest,0.9184,0.6935
Random Forest,0.9388,0.6768
Random Forest,0.9592,0.6515
Random Forest,0.9796,0.6186
Random Forest,1.0,0.5
Gradient Boosting,0.0,1.0
Gradient Boosting,0.0204,0.9826
Gradient Boosting,0.0408,0.9798
Gradient Boosting,0.0612,0.9695
Gradient Boosting,0.0816,0.9631
Gradient Boosting,0.102,0.9582
Gradient Boosting,0.1224,0.955
Gradient Boosting,0.1429,0.9499
Gradient Boosting,0.1633,0.9485
Gradient Boosting,0.1837,0.9451
Gradient Boosting,0.2041,0.9405
Gradient Boosting,0.2245,0.938
Gradient Boosting,0.2449,0.9332
Gradient Boosting,0.2653,0.9279
Gradient Boosting,0.2857,0.9226
Gradient Boosting,0.3061,0.9183
Gradient Boosting,0.3265,0.9138
Gradient Boosting,0.3469,0.9091
Gradient Boosting,0.3673,0.9038
Gradient Boosting,0.3878,0.9009
Gradient Boosting,0.4082,0.8953
Gradient Boosting,0.4286,0.8908
Gradient Boosting,0.449,0.8844
Gradient Boosting,0.4694,0.8787
Gradient Boosting,0.4898,0.8732
Gradient Boosting,0.5102,0.8666
Gradient Boosting,0.5306,0.8622
Gradient Boosting,0.551,0.8572
Gradient Boosting,0.5714,0.8513
Gradient Boosting,0.5918,0.8447
Gradient Boosting,0.6122,0.8376
Gradient Boosting,0.6327,0.8319
Gradient Boosting,0.6531,0.827
Gradient Boosting,0.6735,0.8191
Gradient Boosting,0.6939,0.8102
Gradient Boosting,0.7143,0.8012
Gradient Boosting,0.7347,0.7934
Gradient Boosting,0.7551,0.7838
Gradient Boosting,0.7755,0.774
Gradient Boosting,0.7959,0.7646
Gradient Boosting,0.8163,0.7533
Gradient Boosting,0.8367,0.7426
Gradient Boosting,0.8571,0.7326
Gradient Boosting,0.8776,0.7221
Gradient Boosting,0.898,0.7077
Gradient Boosting,0.9184,0.6916
Gradient Boosting,0.9388,0.675
Gradient Boosting,0.9592,0.6532
Gradient Boosting,0.9796,0.621
Gradient Boosting,1.0,0.5
K-Nearest Neighbors,0.0,1.0
K-Nearest Neighbors,0.0204,0.9804
K-Nearest Neighbors,0.0408,0.9608
K-Nearest Neighbors,0.0612,0.9412
K-Nearest Neighbors,0.0816,0.9216
K-Nearest Neighbors,0.102,0.902
K-Nearest Neighbors,0.1224,0.8824
K-Nearest Neighbors,0.1429,0.8629
K-Nearest Neighbors,0.1633,0.8433
K-Nearest Neighbors,0.1837,0.8237
K-Nearest Neighbors,0.2041,0.8076
K-Nearest Neighbors,0.2245,0.8028
K-Nearest Neighbors,0.2449,0.7981
K-Nearest Neighbors,0.2653,0.7933
K-Nearest Neighbors,0.2857,0.7886
K-Nearest Neighbors,0.3061,0.7838
K-Nearest Neighbors,0.3265,0.7791
K-Nearest Neighbors,0.3469,0.7744
K-Nearest Neighbors,0.3673,0.7696
K-Nearest Neighbors,0.3878,0.7649
K-Nearest Neighbors,0.4082,0.7601
K-Nearest Neighbors,0.4286,0.7554
K-Nearest Neighbors,0.449,0.7506
K-Nearest Neighbors,0.4694,0.7461
K-Nearest Neighbors,0.4898,0.742
K-Nearest Neighbors,0.5102,0.738
K-Nearest Neighbors,0.5306,0.734
K-Nearest Neighbors,0.551,0.7299
K-Nearest Neighbors,0.5714,0.7259
K-Nearest Neighbors,0.5918,0.7218
K-Nearest Neighbors,0.6122,0.7178
K-Nearest Neighbors,0.6327,0.7137
K-Nearest Neighbors,0.6531,0.7097
K-Nearest Neighbors,0.6735,0.7056
K-Nearest Neighbors,0.6939,0.7016
K-Nearest Neighbors,0.7143,0.6966
K-Nearest Neighbors,0.7347,0.6902
K-Nearest Neighbors,0.7551,0.6837
K-Nearest Neighbors,0.7755,0.6773
K-Nearest Neighbors,0.7959,0.6709
K-Nearest Neighbors,0.8163,0.6645
K-Nearest Neighbors,0.8367,0.6581
K-Nearest Neighbors,0.8571,0.6517
K-Nearest Neighbors,0.8776,0.6423
K-Nearest Neighbors,0.898,0.629
K-Nearest Neighbors,0.9184,0.6157
K-Nearest Neighbors,0.9388,0.6024
K-Nearest Neighbors,0.9592,0.5892
K-Nearest Neighbors,0.9796,0.545
K-Nearest Neighbors,1.0,0.5
